Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
296961-4569911.pdf,TREMFYA,Any,"maximally tolerated doses (TWO months of each) unless contraindicated or clinically significant adverse effects are experienced (document drug, date, and duration of trial): i. Topical corticosteroids ii. Acitretin iii. Topical Vitamin D analogs (e.g., calcitriol) iv. Calcineurin inhibitors (e.g., tacrolimus or pimecrolimus) v. Topical retinoic acid derivatives vi. Phototherapy",No,5,Yes,No,No,NA,Unspecified,NA,NA,NA,75
337814-4985370.pdf,STELARA,Any,NA,No,No,No,No,No,NA,Unspecified,NA,NA,NA,100
337814-4985370.pdf,TREMFYA,Any,NA,No,No,No,No,No,NA,Unspecified,NA,NA,NA,100
364054-4720790.pdf,STELARA,Any,NA,No,No,No,No,No,NA,Unspecified,NA,NA,NA,100
364054-4720790.pdf,TREMFYA,Any,NA,No,No,No,No,No,NA,Unspecified,NA,NA,NA,100
56061-4538520.pdf,STELARA,>=6,Has failed or has a contraindication to at least one topical agent.,No,1,No,No,No,NA,1,12,Yes,"A letter of medical necessity with chart notes demonstrating therapeutic benefit. Baseline and current PASI score (or equivalent, for Ps). Documentation of tolerance and absence of adverse events.",75
361486-4654549.pdf,TREMFYA,FDA approved age,No,No,No,No,Yes,No,NA,3,12,Yes,Unspecified,75
363337-5004251.pdf,STELARA,Any,For plaque psoriasis (initial requests): One of the following was ineffective or not tolerated: a) methotrexate at a dose of at least 10mg/week (or maximally tolerated dose) OR b) acitretin.,No,1,No,No,No,Dermatologist,12,Unspecified,Yes,For continuation requests (all diagnoses): Member has benefited with use of this medication.,100
270849-4873664.pdf,TREMFYA,>=18,"a. Inadequate response to one of the following topical therapies: a corticosteroid, a vitamin D analog, tazarotene, calcineurin inhibitor, anthralin, or coal tar b. Contraindication to all of the following topical therapies: corticosteroids, vitamin D analogs, tazarotene, calcineurin inhibitors, anthralin, and coal tar c. Previous treatment with a biologic agent indicated for the requested use",1,No,No,No,No,NA,Unspecified,NA,NA,NA,100
258503-4913513.pdf,TREMFYA,>=18,"Authorization of 12 months may be granted for adult members who have previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for the treatment of moderate to severe plaque psoriasis. Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine or acitretin.",No,1,No,Yes,No,Dermatologist,12,12,Yes,Authorization of 12 months may be granted for adult members who were previously authorized by HMSA/HMSA’s Pharmacy Benefit Manager and achieve or maintain a positive clinical response from Tremfya therapy as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:,75
58918-4969735.pdf,STELARA,>=6,"Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin. Member has a clinical reason to avoid pharmacologic treatment with methotrexate, cyclosporine, and acitretin (see Appendix).",No,1,No,Yes,No,NA,12,12,Yes,Authorization of 12 months may be granted to members 6 years of age and older who were previously authorized by HMSA/CVS for the requested drug and achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:,100
258492-5030356.pdf,STELARA,>=18,"For Abrilada, adalimumab-aacf, adalimumab-aaty, adalimumab-adbm, adalimumab-fkjp, Amjevita, Cyltezo, Hulio, Humira, Hyrimoz, Idacio, Imuldosa SQ, Omvoh SQ, Otulfi SQ, Pyzchiva SQ, Selarsdi SQ, Simlandi, Simponi, Stelara SQ, Velsipity, Steqeyma SQ, ustekinumab-aekn SQ, ustekinumab- HIKMA, ustekinumab-JJ, ustekinumab-ttwe SQ, Wezlana SQ, Yesintek SQ, Yuflyma, Yusimry, Zeposia or Zymfentra, the member must have a documented inadequate response, intolerable adverse event or contraindication to ALL of the following: • Rinvoq, Skyrizi SQ, Tremfya SQ, Velsipity, Stelara SQ,AND Xeljanz/Xeljanz XR • , and adalimumab-adaz, Hyrimoz (Cordavis) or OR Hadlima. 2.• Pyzchiva SQ (Cordavis or Sandoz), Yesintek SQ OR Stelara SQ",6,No,No,No,No,NA,Unspecified,NA,NA,NA,75
379899-5030421.pdf,STELARA,>=6,"who have previously received a biologic or targeted synthetic drug (e.g., Sotyktu, Otezla) indicated for treatment of moderate to severe plaque psoriasis. Member has had an inadequate response or intolerance to either phototherapy (e.g., UVB, PUVA) or pharmacologic treatment with methotrexate, cyclosporine, or acitretin.",No,1,No,Yes,No,Dermatologist,12,12,Yes,Authorization of 12 months may be granted to members 6 years of age and older who were previously authorized by HMSA/HMSA’s Pharmacy Benefit Manager for the requested drug and achieve or maintain a positive clinical response as evidenced by low disease activity or improvement in signs and symptoms of the condition when either of the following is met:,75
362198-4805629.pdf,STELARA,FDA approved age,"Coverage Criteria 1 through 2 are applicable; however, member must demonstrate failure of both oral agent AND phototherapy (unless clinically significant medical contraindications are documented). Member must fail a therapeutic trial of ALL HAP preferred anti-TNF agents (unless clinically significant medical contraindications are documented). Failure of TNF inhibitor treatment is defined as a minimum of three months trial with <50% clearing of psoriasis plaques from the initially affected body surface. Member must fail a therapeutic trial (3 months) of oral apremilast (Specific prior authorization coverage applies. Refer to Pharmacy Care Management Prior Authorization Criteria Document).",2,1,Yes,No,No,Dermatologist,6,12,Yes,Plaque psoriasis: Continuation coverage is limited to Members who demonstrate clearing of 50% or greater of affected body surface area of plaque psoriasis,75
333345-4841422.pdf,TREMFYA,>=18,"Documented failure, intolerance, or contraindication to topical therapy (topical corticosteroids, vitamin D analogs, etc) Documented failure to respond to a minimum 3 month trial, intolerance, or contraindication to Taltz and any TWO of the following: Cimzia, Enbrel, Otezla, Covered ustekinumab biosimilars, Tremfya, Skyrizi Documented failure to respond to a minimum 3 month trial, intolerance, or contraindication to Taltz and Cimzia, Covered adalimumab biosimilars, Enbrel, Covered ustekinumab biosimilars, Tremfya, Skyrizi",3,No,No,Yes,No,NA,Unspecified,NA,NA,NA,75
372505-5024739.pdf,STELARA,>=6,"Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE of the following topical therapies or contraindication to ALL of them: Corticosteroids, Vitamin D analogs, Tazarotene, Calcineurin inhibitors, Anthralin, Coal tar",No,1,No,No,"Psoriasis: quantity limit 1 injection/4 weeks for the first 2 fills, followed by 1 injection/12 weeks.",Dermatologist,6,12,Yes,Member must have demonstrated a clinical response to therapy (i.e. reduction in body surface area involvement or improvement in PASI score),75
372229-5027532.pdf,TREMFYA,>=18,"Member must be intolerant or failed a trial of at least ONE (1) of the following: a DMARD (i.e., methotrexate, sulfasalazine, hydroxychloroquine, aurothioglucose, auranofin, gold sodium thiomalate, azathioprine, d-penicillamine, cyclosporine, leflunomide AND Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE of the following topical therapies or contraindication to ALL of them: Corticosteroids, Vitamin D analogs, Tazarotene, Calcineurin inhibitors, Anthralin, Coal tar",No,2,No,No,Plaque psoriasis and psoriatic arthritis: 100mg strength only: 2/28 for the first month then 1/56,Dermatologist,6,12,Yes,"Documentation of positive clinical response to Tremfya therapy (e.g., labs, sign/symptom reduction, no disease progression, no significant toxicity)",75
372479-5037971.pdf,STELARA,>=6,"Member has had a minimum duration of a 4-week trial and failure, or intolerance to ONE of the following topical therapies or contraindication to ALL of them: Corticosteroids, Vitamin D analogs, Tazarotene, Calcineurin inhibitors, Anthralin, Coal tar",No,1,No,No,"Psoriasis: quantity limit 1 injection/4 weeks for the first 2 fills, followed by 1 injection/12 weeks.",Dermatologist,6,12,Yes,Member must have demonstrated a clinical response to therapy (i.e. reduction in body surface area involvement or improvement in PASI score),75
84074-5053811.pdf,STELARA,>=6,"Patient did not respond adequately (or is not a candidate) to a trial of topical agents (i.e., corticosteroids); AND Patient did not respond adequately (or is not a candidate***) to a trial of phototherapy (i.e., psoralens with UVA light [PUVA] or UVB with coal tar or dithranol)",No,No,Yes,No,Subcutaneous Loading: • 90 billable units (90 mg) at weeks 0 & 4; maintenance dosing 12 weeks later Subcutaneous Maintenance: • 90 billable units (90 mg) every 12 weeks; • 45 billable units (45mg) at weeks 0 & 4; maintenance dosing 12 weeks later Subcutaneous Maintenance: • 45 billable units (45 mg) every 12 weeks,Dermatologist,6,12,Yes,Unspecified,75
51842-4975862.pdf,STELARA,>=6,"Documentation of a trial of at least 14 weeks of Steqeyma or Yesintek resulting in minimal clinical response to therapy and residual disease activity. Documentation of intolerance, contraindication, or adverse event to Steqeyma or Yesintek. History of failure to a 3 month trial of methotrexate at the maximally indicated dose, unless contraindicated or clinically significant adverse effects are experienced. Patient has been previously treated with a targeted immunomodulator FDA-approved for the treatment of plaque psoriasis [e.g., adalimumab, Bimzelx (bimekizumab-bkzx), Cimzia (certolizumab), Cosentyx (secukinumab), Enbrel (etanercept), Ilumya (tildrakizumab), Otezla (apremilast), Skyrizi (risankinumab), Siliq (brodalumab), Sotyktu (deucravacitinib), Taltz (ixekizumab), Tremfya (guselkumab)].",1,1,No,No,No,Dermatologist,12,12,Yes,"Documentation of positive clinical response; and Prescriber attestation that the patient or caregiver are not able to be trained or are physically unable to administer ustekinumab FDA labeled for self-administration; prescriber must submit explanation; and Ustekinumab is initiated and titrated according to US Food and Drug Administration labeled dosing for plaque psoriasis; and Patient is not receiving ustekinumab in combination with a targeted immunomodulator [e.g., adalimumab, Bimzelx (bimekizumab-bkzx), Cimzia (certolizumab), Cosentyx (secukinumab), Enbrel (etanercept), Ilumya (tildrakizumab), Otezla (apremilast), Skyrizi (risankizumab), Siliq (brodalumab), Sotyktu (deucravacitinib), Taltz (ixekizumab), Tremfya (guselkumab)]; and Authorization is for no more than 12 months",75
255517-4865097.pdf,TREMFYA,>=18,"One of the following: (a) All of the following: ii. History of failure to one of the following topical therapies, unless contraindicated or clinically significant adverse effects are experienced (document drug, date, and duration of trial): a. Corticosteroids (e.g., betamethasone, clobetasol, desonide) b. Vitamin D analogs (e.g., calcitriol, calcipotriene) c. Tazarotene d. Calcineurin inhibitors (e.g., tacrolimus, pimecrolimus) e. Anthralin f. Coal tar -OR- (b) Patient has been previously treated with a targeted immunomodulator FDA-approved for the treatment of plaque psoriasis as documented by claims history or submission of medical records (Document drug, date, and duration of therapy) [e.g., Cimzia (certolizumab), adalimumab, Otezla (apremilast), Skyrizi (risankizumab), ustekinumab].",No,1,No,No,No,Dermatologist,12,12,Yes,"Tremfya will be approved based on all of the following criteria: (1) Documentation of positive clinical response to Tremfya therapy -AND- (2) Patient is not receiving Tremfya in combination with another targeted immunomodulator [e.g., Enbrel (etanercept), Cimzia (certolizumab), Simponi (golimumab), Orencia (abatacept), adalimumab, ustekinumab, Skyrizi (risankizumab), Cosentyx (secukinumab), Taltz (ixekizumab), Siliq (brodalumab), Ilumya (tildrakizumab), Xeljanz (tofacitinib), Olumiant (baricitinib), Rinvoq (upadacitinib), Otezla (apremilast)]",75
255515-5050321.pdf,STELARA,>=6,"One of the following: (a) All of the following: ii. History of failure to one of the following topical therapies, unless contraindicated or clinically significant adverse effects are experienced (document drug, date, and duration of trial): a. Corticosteroids (e.g., betamethasone, clobetasol, desonide) b. Vitamin D analogs (e.g., calcitriol, calcipotriene) c. Tazarotene d. Calcineurin inhibitors (e.g., tacrolimus, pimecrolimus) e. Anthralin f. Coal tar -AND- iii. History of failure to a 3 month trial of methotrexate at maximally indicated dose, unless contraindicated or clinically significant adverse effects are experienced (document date and duration of trial)b -OR- (b) Patient has been previously treated with a targeted immunomodulator FDA-approved for the treatment of plaque psoriasis as documented by claims history or submission of medical records (Document drug, date, and duration of therapy) [e.g., Cimzia (certolizumab), adalimumab, Otezla (apremilast), Skyrizi (risankizumab), Tremfya (guselkumab)].",No,1,No,No,No,Dermatologist,12,12,Yes,Documentation of positive clinical response to the requested ustekinumab therapy,100
167126-4508319.pdf,TREMFYA,>=18,No,No,No,No,No,No,Dermatologist,Unspecified,NA,NA,NA,100
187701-5050284.pdf,TREMFYA,Any,"The patient must be a candidate for systemic therapy or phototherapy and meet for ONE of the following (A or B) A. The patient must have had a 3-month trial of systemic therapy (i.e., acitretin, methotrexate, or cyclosporine) that resulted in an inadequate response (failure). A 3-month trial will not be required if the member experienced serious side effects during a trial of one of the aforementioned agents OR B. The patient must have had a 3-month trial of Ultraviolet B (UVB) Phototherapy or Psoralen Ultraviolet A (PUVA) Phototherapy that resulted in an inadequate response (failure)",No,1,No,No,No,NA,Unspecified,NA,NA,NA,100
296792-5001283.pdf,STELARA,>=6,"Trial of all preferred formulary agents is required unless all are contraindicated. Trial must result in an inadequate response after four consecutive months of use per medication or a severe adverse reaction. Other therapies [must meet one listed below]: unless all are contraindicated. Trials must result in an inadequate response after four consecutive months of use per medication or a severe adverse reaction. a. Local therapies: topical (steroids, vitamin D analogs, coal tar, dithranol), phototherapy, photo chemotherapy. b. Systemic therapy: cyclosporine, methotrexate.",1,1,No,No,No,NA,6,Unspecified,Yes,a. Decreased or sustained reduction in disease activity. b. Adherence [must meet one listed below]: i. Medications processed on the medical benefit: consistent utilization (at least 80% of days covered) history documented in claims history or chart notes. ii. Medications processed on the pharmacy benefit: consistent (at least 80% of days covered) fill history electronically or verbally from the pharmacy.,75
296792-5001283.pdf,TREMFYA,>=6,"Other therapies: Trial of the following therapies are required unless all are contraindicated. Trial must result in an inadequate response after four consecutive months of use per medication or a severe adverse reaction. Chronic traditional disease-modifying anti-rheumatic drug: azathioprine, methotrexate. For Plaque Psoriasis, unless all are contraindicated, trials must result in an inadequate response after four consecutive months of use per medication or a severe adverse reaction. Local therapies: topical (steroids, vitamin D analogs, coal tar, dithranol), phototherapy, photo chemotherapy. Systemic therapy: cyclosporine, methotrexate.",No,3,No,No,No,NA,6,6,Yes,Decreased or sustained reduction in disease activity. Adherence [must meet one listed below]: i. Medications processed on the medical benefit: consistent utilization (at least 80% of days covered) history documented in claims history or chart notes. ii. Medications processed on the pharmacy benefit: consistent (at least 80% of days covered) fill history electronically or verbally from the pharmacy.,75
305769-4866320.pdf,STELARA,>=6,"• Patient did not respond adequately (or is not a candidate) to a 4-week minimum trial of at least TWO (2) therapeutically different topical agents (i.e., anthralin, coal tar preparations, corticosteroids, emollients, immunosuppressives, keratolytics, retinoic acid derivatives, and/or vitamin D analogues); AND • Patient did not respond adequately (or is not a candidate) to a 3-month minimum trial of at least ONE (1) non-biologic systemic agent (i.e., immunosuppressives, retinoic acid derivatives, and/or methotrexate); AND • Patient did not respond adequately (or is not a candidate*) to a 3-month minimum trial of phototherapy (i.e., psoralens with UVA light [PUVA] or UVB with coal tar or dithranol)",No,2,Yes,Yes,Maximum Units: Indication | Billable Units Per Number of Days Plaque psoriasis (Moderate to Severe) & Psoriatic Arthritis with co- existent moderate-severe Plaque Psoriasis | 90 | Initiation: 0 and 4 weeks Maintenance: starting 12 weeks after last initiation dose; every 12 weeks,NA,6,6,Yes,Unspecified,75
298309-4972610.pdf,STELARA,Any,"If the requested agent is not listed as a preferred product, must have documented treatment failure or contraindication to the preferred product(s). Documented treatment failure with three or more of the following topical therapies for a duration of at least 4 weeks: Corticosteroids (eg, betamethasone, clobetasol, desonide), Vitamin D analogs (eg, calcitriol, calcipotriene), Tazarotene, Calcineurin inhibitors (eg, tacrolimus, pimecrolimus), Coal Tar, Anthralin",1,1,No,No,No,NA,4,12,Yes,with an updated letter of medical necessity or progress notes showing improvement or maintenance with the medication.,75
298309-4972610.pdf,TREMFYA,>=18,"2. Moderate to Severe Disease a. Documented treatment failure or contraindication to phototherapy or photochemotherapy. b. Documented treatment failure to one or contraindication to all conventional systemic immunosuppressant(s) (eg, acitretin, cyclosporine, methotrexate, etc).",No,1,Yes,No,"1 syringe or autoinjector for the first 28 days, then 1 syringe or autoinjector every 8 weeks",Dermatologist; Rheumatologist,4,12,Yes,with an updated letter of medical necessity or progress notes showing improvement or maintenance with the medication.,75
215824-5041653.pdf,TREMFYA,>=18,"Patient has tried at least at least one traditional systemic agent for psoriasis for at least 3 months, unless intolerant; OR Note: Examples include methotrexate, cyclosporine, or acitretin. A 3-month trial of psoralen plus ultraviolet A light (PUVA) also counts. An exception to the requirement for a trial of one traditional systemic agent for psoriasis can be made if the patient has already had a 3-month trial or previous intolerance to at least one biologic other than the requested drug. A biosimilar of the requested biologic does not count. Refer to Appendix for examples of biologics used for psoriasis. A patient who has already tried a biologic for psoriasis is not required to “step back” and try a traditional systemic agent for psoriasis.",No,1,No,No,No,Dermatologist,Unspecified,12,Yes,"Patient has been established on the requested drug for at least 3 months; AND Patient experienced a beneficial clinical response, defined as improvement from baseline (prior to initiating the requested drug) in at least one of the following: estimated body surface area, erythema, induration/thickness, and/or scale of areas affected by psoriasis; AND Compared with baseline (prior to initiating the requested drug), patient experienced an improvement in at least one symptom, such as decreased pain, itching, and/or burning.",75
371611-4978411.pdf,STELARA,>=6,"History of failure to one of the following, unless all are contraindicated or not tolerated: a. Phototherapy (UVB or PUVA) [minimum trial of 12 weeks]; OR b. Treatment with at least one non-Cytokine and CAM DMARD (e.g., methotrexate, cyclosporine, acitretin, azathioprine, etc.) [minimum trial of 12 weeks]",No,1,No,No,No,Dermatologist,6,6,Yes,Unspecified,75
371611-4978411.pdf,TREMFYA,>=18,"History of failure to one of the following, unless all are contraindicated or not tolerated: a. Phototherapy (UVB or PUVA) [minimum trial of 12 weeks]; OR b. Treatment with at least one non-Cytokine and CAM DMARD (e.g., methotrexate, cyclosporine, acitretin, azathioprine, etc.) [minimum trial of 12 weeks] Treatment with two preferred Cytokine and CAM Apple Health Preferred Drug List (PDL) medications has each been ineffective, unless all are contraindicated, or not tolerated [minimum trial of 12 weeks]",1,1,No,No,Plaque psoriasis and psoriatic arthritis: 100 mg/mL one-press autoinjector or PFS (#1 per box) Initial PA #1: 1 autoinjector or PFS per 28 days for the first month Initial PA #2: 1 autoinjector or PFS per 56 days for months 2-6 Renewal PA: #1 autoinjector or PFS per 56 days for one year,Dermatologist,6,12,Yes,Unspecified,75
363896-4716077.pdf,STELARA,>=6,a. Inadequate response or adverse reaction to at least a 3 month trial of one biologic DMARD that is FDA-approved for plaque psoriasis; OR b. Inadequate response or adverse reaction to at least a 3 month trial of two conventional therapies (as defined below) in any one of the following combinations (please note: these combinations i. 1 topical agent + 1 systemic agent; OR ii. 1 topical agent + 1 phototherapy; OR iii. 1 systemic agent + 1 phototherapy; OR iv. 2 systemic agents; OR,No,1,No,No,No,NA,Unspecified,Unspecified,Yes,a. The member has had a positive response to therapy: OR b. Documentation of clinical justification to continue therapy with the requested medication,100
275244-4659838.pdf,STELARA,>=6,"Moderate to severe plaque psoriasis (PsO); AND 3. ONE of the following: a. Inadequate response or adverse reaction to at least a 3-month trial of one biologic DMARD that is FDA-approved for plaque psoriasis; OR b. Inadequate response or adverse reaction to at least a 3-month trial of one conventional therapy (as defined below) in any one of the following combinations (please note: these combinations DO NOT have to be used concurrently): i. One topical agent plus one systemic agent; OR ii. One topical agent plus one phototherapy; OR iii. One systemic agent plus one phototherapy; OR iv. Two systemic agents; OR c. Contraindication to methotrexate, as determined by the prescriber; Plaque Psoriasis Methotrexate Azathioprine Cyclosporine",No,1,No,No,No,Dermatologist; Rheumatologist,6,12,Yes,1. Initial criteria have been met; AND 2. One of the following: a. The member has had a positive response to therapy; OR b. Documentation of clinical justification to continue therapy with the requested medication,75
282478-5009832.pdf,TREMFYA,>=18,An inadequate response or adverse reaction to one biologic DMARD that is FDA-approved for plaque psoriasis; OR An inadequate response or adverse reaction to at least a 3 consecutive month trial of any one of the following combinations (please note: these combinations DO NOT have to be used concurrently) i. one topical agent plus one systemic agent; OR ii. one topical agent plus one phototherapy; OR iii. one systemic agent plus one phototherapy; OR iv. two systemic agents;,No,1,No,No,No,NA,6,12,Yes,1. Initial criteria has been met; AND a. The member has had a positive response to therapy; OR b. Documentation of clinical justification to continue therapy with the requested medication,75
